Critical Metals chairman suggests Cobalt market beginning to strengthen,https://www.proactiveinvestors.co.uk/companies/news/904480/critical-metals-chairman-suggests-cobalt-market-beginning-to-strengthen-904480.html,2019-10-09 12:38:00,
The rare earths they call strategic minerals,https://www.proactiveinvestors.co.uk/companies/news/903894/the-rare-earths-they-call-strategic-minerals-903894.html,2019-10-01 12:41:00,
KR1 posts £4.6mln profit after launch of Cosmos network,https://www.proactiveinvestors.co.uk/companies/news/903798/kr1-posts-46mln-profit-after-launch-of-cosmos-network-903798.html,2019-09-30 15:11:00,"Liquid assets included cash at bank of £0.57mln, cash equivalents valued at £1.1mln and a further £0.51mln cash held on trading platforms"
Fluorspar: One of the best kept secrets in the battery metal mix,https://www.proactiveinvestors.co.uk/companies/news/903752/fluorspar-one-of-the-best-kept-secrets-in-the-battery-metal-mix-903752.html,2019-09-30 10:58:00,
TRIG raises cash to invest outside the UK,https://www.proactiveinvestors.co.uk/companies/news/903659/trig-raises-cash-to-invest-outside-the-uk-903659.html,2019-09-27 11:19:00,The energy investor called Europe a more promising market for renewables
"Two smaller mining companies are trying for listings in London at the moment, so is the market coming back at last?",https://www.proactiveinvestors.co.uk/companies/news/903562/two-smaller-mining-companies-are-trying-for-listings-in-london-at-the-moment-so-is-the-market-coming-back-at-last-903562.html,2019-09-26 12:44:00,Minergy and Critical Metals are both currently seeking listings in London
Clear Leisure CEO confident of a positive outcome to its litigation issues,https://www.proactiveinvestors.co.uk/companies/news/902668/clear-leisure-ceo-confident-of-a-positive-outcome-to-its-litigation-issues-902668.html,2019-09-13 09:33:00,
Critical Metals eyes up discounts in SA,https://www.proactiveinvestors.co.uk/companies/news/902036/critical-metals-eyes-up-discounts-in-sa-902036.html,2019-09-04 15:34:00,
"Proactive news snapshot: Scancell, Haydale Graphene, Crossword Cybersecurity",https://www.proactiveinvestors.co.uk/companies/news/902031/proactive-news-snapshot-scancell-haydale-graphene-crossword-cybersecurity-902031.html,2019-09-04 15:30:00,A glance at some of the day's highlights from the Proactive Investors newswire
KR1 expands blockchain portfolio with three new investments,https://www.proactiveinvestors.co.uk/companies/news/902002/kr1-expands-blockchain-portfolio-with-three-new-investments-902002.html,2019-09-04 09:12:00,"The investments included Nym Protocol, a blockchain-based platform that helps develop applications to protect against metadata leakage"
Restaurant Group results and construction PMI in focus for Tuesday,https://www.proactiveinvestors.co.uk/companies/news/901864/restaurant-group-results-and-construction-pmi-in-focus-for-tuesday-901864.html,2019-09-03 06:00:00,Investors in the owner of Wagamama will be hoping the group has some solid growth plans amid turbulence in the casual dining sector
Parkmead shares dip as it moves into renewable energy with acquisition of Pitreadie Farm,https://www.proactiveinvestors.co.uk/companies/news/901791/parkmeadshares-dip-as-it-moves-into-renewable-energy-with-acquisition-of-pitreadie-farm-901791.html,2019-08-30 15:30:00,A look at some of today's biggest risers and fallers in London
Hipgnosis Songs Fund buys music catalogue from Grammy-winning electronic duo The Chainsmokers,https://www.proactiveinvestors.co.uk/companies/news/901125/hipgnosis-songs-fund-buys-music-catalogue-from-grammy-winning-electronic-duo-the-chainsmokers-901125.html,2019-08-20 10:20:00,Hipgnosis will now receive The Chainsmokers’ cut of the royalties from tracks such as Closer and Something Just Like This
Concerns for small cap stocks following Woodford fiasco,https://www.proactiveinvestors.co.uk/companies/news/900958/concerns-for-small-cap-stocks-following-woodford-fiasco-900958.html,2019-08-16 08:18:00,
Volatility is back! But who are the winners and the losers in an unpredictable market?,https://www.proactiveinvestors.co.uk/companies/news/900671/volatility-is-back-but-who-are-the-winners-and-the-losers-in-an-unpredictable-market-900671.html,2019-08-14 06:22:00,The big stock exchanges are even more erratic than Donald Trump on Twitter…
UK jobs data to take macro spotlight on Tuesday; pawnbroker H&T to report finals,https://www.proactiveinvestors.co.uk/companies/news/900535/uk-jobs-data-to-take-macro-spotlight-on-tuesday-pawnbroker-ht-to-report-finals-900535.html,2019-08-13 06:00:00,"While unemployment has been at its lowest levels since 1974, Brexit uncertainty has some employers ready to pump the brakes on their hiring"
Beryllium 'a metal like no other' enjoying record high prices,https://www.proactiveinvestors.co.uk/companies/news/900375/beryllium--a-metal-like-no-other--enjoying-record-high-prices-900375.html,2019-08-08 12:51:00,
Hargreaves Lansdown results in the spotlight in wake of Woodford scandal,https://www.proactiveinvestors.co.uk/companies/news/900287/hargreaves-lansdown-results-in-the-spotlight-in-wake-of-woodford-scandal-900287.html,2019-08-08 06:00:00,"Thursday will see finals results from Hargreaves Lansdown as well as interims from Hastings, Coca-Cola HBC and Arrow Global"
Recovery expected in Antimony price as fire safety market recovers,https://www.proactiveinvestors.co.uk/companies/news/900312/recovery-expected-in-antimony-price-as-fire-safety-market-recovers-900312.html,2019-08-07 15:35:00,
City of London on track to submit UK banking licence application later this year,https://www.proactiveinvestors.co.uk/companies/news/223907/city-of-london-on-track-to-submit-uk-banking-licence-application-later-this-year-223907.html,2019-07-15 09:50:00,"The finance house is hoping to have submitted its application by the end of the year, which would allow it to start accepting deposits towards the end of 2020"
Polar Capital Technology enjoys bounce-back in 2019,https://www.proactiveinvestors.co.uk/companies/news/223886/polar-capital-technology-enjoys-bounce-back-in-2019-223886.html,2019-07-15 08:15:00,"""The technology sector enjoyed another impressive year of absolute and relative returns, our benchmark, the Dow Jones World Technology Index, advancing 21.4%, in sterling terms,"" reported Ben Rogoff, the trust's investment manager"
Do UK solar funds offer a cloudless spot for income investors? (Part I of II),https://www.proactiveinvestors.co.uk/companies/news/223521/do-uk-solar-funds-offer-a-cloudless-spot-for-income-investors-part-i-of-ii-223521.html,2019-07-08 14:16:00,"NextEnergy Solar Fund, Bluefield Solar Income Fund Ltd and Foresight Solar Fund have been joined by US Solar Fund in what is an exciting time for this sub-sector"
"Crypto clampdown will 'have limited impact' on IG, CMC and Plus500",https://www.proactiveinvestors.co.uk/companies/news/223359/crypto-clampdown-will--have-limited-impact--on-ig-cmc-and-plus500-223359.html,2019-07-04 11:48:00,The City watchdog this week launched a consultation on potentially preventing the sale to UK retail customers of derivatives products referencing any sort of ‘cryptoassets’
Plus500 enjoys second quarter uptick but first half still well down,https://www.proactiveinvestors.co.uk/companies/news/223187/plus500-enjoys-second-quarter-uptick-but-first-half-still-well-down-223187.html,2019-07-02 10:21:00,The online trading platform operator said there were “signs of reduced levels of marketing” across its peer group
NextEnergy Solar Fund makes hay as sun shines,https://www.proactiveinvestors.co.uk/companies/news/222324/nextenergy-solar-fund-makes-hay-as-sun-shines-222324.html,2019-06-18 10:31:00,"NextEnergy generated 693Gw over the year, (enough to power Northampton and Portsmouth combined for an entire year), which was 9.1% above budget"
"KR1 nets over US$300,000 from sale of ATOM tokens",https://www.proactiveinvestors.co.uk/companies/news/221855/kr1-nets-over-us300000-from-sale-of-atom-tokens-221855.html,2019-06-11 08:19:00,"The digital asset investor said that it had sold 70,079 ATOM tokens for an average price of US$5.14 each, having acquired them for around US$0.10 each in early 2017"
Brainworks appoints Peter Saungweme as interim CEO of Brainworks Capital following resignation of Brett Childs,https://www.proactiveinvestors.co.uk/companies/news/221784/brainworks-appoints-peter-saungweme-as-interim-ceo-of-brainworks-capital-following-resignation-of-brett-childs-221784.html,2019-06-10 11:40:00,The Mauritius-based company said Saungweme was appointed on June 5 as the company believes that the business would benefit by transitioning to a Zimbabwe-based CEO
"KR1 co-founders step down from the board, will remain as consultants",https://www.proactiveinvestors.co.uk/companies/news/221465/kr1-co-founders-step-down-from-the-board-will-remain-as-consultants-221465.html,2019-06-04 10:00:00,The blockchain and crypto investment firm said both Rupert Williams and Jeremy Woodgate would remain with the company as consultants
KR1 boss hails “major shift” in crypto market sentiment,https://www.proactiveinvestors.co.uk/companies/news/221302/kr1-boss-hails-major-shift-in-crypto-market-sentiment-221302.html,2019-05-31 12:24:00,"CEO George McDonaugh said that the price of Bitcoin, a key barometer of the sector, had risen to levels not seen for half a year or more and that should this could be a bullish shift from a 54-week long bear market"
